,Restaurant Name,Place Type,Cuisines,Cuisine Regionality,Price for 2,Restaurant Address,Restaurant Rating,Restaurant Review,City,Province,Latitude,Longitude
0,Holy Smokes,['Casual Dining'],"['Grill House', 'Steak']",['Barat'],500000,"Jl. Wolter Monginsidi No. 27, Senopati, Jakarta",4.4,1437,Jakarta Selatan,DKI Jakarta,-6.2391432684,106.807954162
1,Pempek Megaria,['Quick Bites'],['Pempek'],['Palembang'],70000,"Metropole 21, Jl. Pegangsaan Timur No. 21, Cikini, Jakarta",4.3,461,Jakarta Pusat,DKI Jakarta,-6.1999,106.843739
2,Tjikinii Lima,['Casual Dining'],['Kopi'],"['Indonesia', 'Barat']",300000,"Jl. Cikini I No. 5, Cikini, Jakarta 10330",4.0,391,Jakarta Pusat,DKI Jakarta,-6.1898019937,106.837150007
3,Gado-Gado Bon-Bin,['Quick Bites'],['Makanan Sehat'],"['Jawa', 'Indonesia']",90000,"Jl. Cikini 4 No. 5, Cikini, Jakarta",4.0,177,Jakarta Pusat,DKI Jakarta,-6.192958999999999,106.838377
4,RM Wong Tegal,['Quick Bites'],['Satay'],"['Jawa', 'Indonesia']",100000,"Jl. Tanjung Duren Barat 6 No. 5, Tanjung Duren, Jakarta",3.9,12,Jakarta Barat,DKI Jakarta,-6.1823148725,106.782992184
5,Martabak Elin Bandung,['Dessert Parlor'],"['Martabak', 'Makanan Jalanan']",['Indonesia'],80000,"Jl. Pinang Mas III/A 8, Pondok Indah, Jakarta",3.9,26,Jakarta Selatan,DKI Jakarta,-6.265635,106.778986
6,Bakso Sapi Rudi,['Quick Bites'],"['Bakso', 'Meat']",['Indonesia'],60000,"Jl. Rajawali Selatan I No. 54A, Gunung Sahari, Jakarta",3.9,22,Jakarta Pusat,DKI Jakarta,-6.1447059999999984,106.8375
7,A Siang,['Quick Bites'],['Kopi'],['Chinese'],65000,"Ruko Taman Palem Lestari, Blok B16 No. 9, Jl. Taman Palem Lestari, Cengkareng, Jakarta",3.9,7,Jakarta Barat,DKI Jakarta,-6.139208999999999,106.725797
8,Tropicale Juice Bar,['Toko Minuman'],"['Desserts', 'Jus', 'Minuman']",['Indonesia'],50000,"Ampera Garden, Jl. Ampera Raya No. 116, Cilandak, Jakarta",3.9,9,Jakarta Selatan,DKI Jakarta,-6.288935,106.817939
9,Sate Taichan Bang Tetew,['Quick Bites'],['Satay'],['Indonesia'],80000,"Jl. Danau Sunter Utara, Blok J 12 No. 26-28, Sunter, Jakarta 14350",3.9,36,Jakarta Utara,DKI Jakarta,-6.137467,106.873776
10,Kopi Lugu,['Toko Minuman'],"['Kopi', 'Minuman', 'Makanan Jalanan']",['No Region'],60000,"Epicentrum Walk, Lantai Ground, Jl. HR. Rasuna Said, Kuningan, Jakarta",3.9,9,Jakarta Selatan,DKI Jakarta,-6.218297214400001,106.83483459
11,Nasi Uduk Mpok Iyoh,['Quick Bites'],['Kopi'],"['Asia', 'Indonesia', 'Betawi']",100000,"Jl. Pahlawan No. 95, Ciputat Timur, Tangerang",3.9,36,Tangerang Selatan,Banten,-6.299995,106.761931
12,Pinokio Asli,['Kaki Lima'],['Seafood'],['Chinese'],100000,"Jl. Samanhudi No. 40B, Pasar Baru, Jakarta",3.9,8,Jakarta Pusat,DKI Jakarta,-6.161658999999998,106.83164
13,Cirengcrispi,"['Food Court', 'Kios']",['Snacks'],['Sunda'],40000,"Mall of Indonesia, Lantai Lower Ground, Pasar MOI, Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta",3.9,6,Jakarta Utara,DKI Jakarta,-6.150819939500001,106.891997158
14,Queen Café & Restaurant,"['Casual Dining', 'Kafe']",['Minuman'],"['Asia', 'Barat']",250000,"Ruko Mendrizio Square New, Jl. Jendral Sudirman No. 68-69, Serpong Utara, Tangerang 15639",3.9,8,Tangerang Kabupaten,Banten,-6.266648,106.63025
15,Geprek Ayam Keliling,['Food Court'],['Ayam'],"['Jawa', 'Indonesia']",60000,"ITC Cempaka Mas, Lantai 5, Food Court, Jl. Letjen Suprapto, Kemayoran, Jakarta",3.9,7,Jakarta Pusat,DKI Jakarta,-6.164832955700001,106.877443157
16,Warung Makan Betawi Bang Tamit Riman,['Quick Bites'],['Satay'],"['Indonesia', 'Betawi']",80000,"Jl. Bina Asih II, Jatiasih, Bekasi",3.5,4,Bekasi Kota,Jawa Barat,-6.301414,106.955406
17,Lagoon Lounge - The Sultan Hotel Jakarta,"['Casual Dining', 'Lounge']",['Kopi'],"['Indonesia', 'Barat']",350000,"The Sultan Hotel Jakarta, Jl. Gatot Subroto, Senayan, Jakarta",3.9,6,Jakarta Pusat,DKI Jakarta,-6.2165840316,106.810098923
18,Waroeng KG,['Quick Bites'],['Kopi'],['Jawa'],50000,"Ruko Permata Niaga 1, Jl. Taman Royal, Cipondoh, Tangerang",3.9,4,Tangerang Kota,Banten,-6.182252,106.661048
19,Ayam Prekman,['Quick Bites'],"['Makanan Cepat Saji', 'Ayam']",['Indonesia'],60000,"Jl. Bugis No. 118, Tanjung Priok, Jakarta",3.9,28,Jakarta Utara,DKI Jakarta,-6.1154777530999995,106.887590959
20,Takoyaki Grill House,['Food Court'],['Snacks'],"['Barat', 'Jepang']",50000,"H.O.P (Hang Out Place), Jl. Pluit Putra Raya No. 21, Pluit, Jakarta",3.9,5,Jakarta Utara,DKI Jakarta,-6.1183683804,106.79151423200001
21,Mie Bangka AFI,['Quick Bites'],['Bakmi'],"['Bangka', 'Medan', 'Indonesia']",40000,"Ruko Sentra Onderdil II, Blok FB, Jl. Harapan Indah, Medan Satria, Bekasi",3.9,17,Bekasi Kota,Jawa Barat,-6.1789652665,106.981819309
22,Imanoya,['Quick Bites'],['Kopi'],"['Indonesia', 'Jepang']",120000,"Jl. Yado 3 Blok A No. 4, Pondok Indah, Jakarta",3.9,37,Jakarta Selatan,DKI Jakarta,-6.255199,106.789862
23,Kula Coffee,['Toko Minuman'],"['Kopi', 'Minuman']",['No Region'],50000,"Dharmawangsa Square, Lantai 2, Unit 215, Jl. Dharmawangsa VI, Dharmawangsa, Jakarta",3.2,4,Jakarta Selatan,DKI Jakarta,-6.2531469384000005,106.801532954
24,Batavia Cafe,['Kafe'],"['Tea', 'Kopi']","['No Region', 'Indonesia']",150000,"Lotte Mall, Lantai Ground, Jl. MH. Thamrin CBD,Pondok Aren, Tangerang",3.9,40,Tangerang Selatan,Banten,-6.274826,106.723485
25,Holland Bakery,['Toko Kue & Roti'],"['Desserts', 'Kue & Roti']",['No Region'],50000,"Ruko Citra, Jl. Utan Jati No. 3, Daan Mogot, Jakarta",3.1,7,Jakarta Barat,DKI Jakarta,-6.145281,106.707039
26,Dapur Cokelat,['Toko Kue & Roti'],"['Desserts', 'Kue & Roti']",['Indonesia'],120000,"Jl. Kelapa Nias Raya, Blok QE 1 No. 3, Kelapa Gading, Jakarta",4.0,93,Jakarta Utara,DKI Jakarta,-6.1491772077,106.90082632
27,YOMS Kopi dan Gorengan,['Quick Bites'],"['Kopi', 'Snacks', 'Minuman']","['No Region', 'Indonesia']",100000,"Jl. Gading Selatan Blok AA 05/23, Serpong Utara, Tangerang",3.9,27,Tangerang Kabupaten,Banten,-6.237703,106.630514
28,Selasih by Dapur Mamih,['Quick Bites'],['Satay'],['Indonesia'],180000,"Jl. Wolter Monginsidi No. 59, Senopati, Jakarta",4.2,239,Jakarta Selatan,DKI Jakarta,-6.2390352824,106.810920685
29,Dapur Solo,['Casual Dining'],['Kopi'],['Jawa'],180000,"AEON Mall, Lantai 1, Jl. Jakarta Garden City, Cakung, Jakarta",2.6,14,Jakarta Timur,DKI Jakarta,-6.1727589895,106.953604482
30,Korean BBQ Gahyo,['Casual Dining'],"['Grill House', 'Barbekyu']",['Korea'],500000,"SCBD Lot 6, Jl. Jenderal Sudirman, SCBD, Jakarta",4.3,214,Jakarta Selatan,DKI Jakarta,-6.2270786885000025,106.809924244
31,Botany All Day Dining  - Holiday Inn,['Casual Dining'],['Kopi'],"['Asia', 'Barat']",300000,"Holiday Inn, Jl. Griya Utama Blok B No. 1, Sunter, Jakarta",3.7,56,Jakarta Utara,DKI Jakarta,-6.140979,106.854112
32,Soto Kudus,['Food Court'],['Soto'],"['Jawa', 'Indonesia']",50000,"LTC Glodok, Lantai 2, Food Court, Jl. Hayam Wuruk No. 127, Hayam Wuruk, Jakarta",3.4,4,Jakarta Barat,DKI Jakarta,-6.1462080000000014,106.816922
33,Kepiting Sumo,['Food Court'],['Seafood'],['Asia'],100000,"Plaza Semanggi, Lantai 3A, Maxx Kitchen, Jl. Jenderal Sudirman, Sudirman, Jakarta",3.4,10,Jakarta Selatan,DKI Jakarta,-6.2204626828,106.81409910299999
34,Little India Restaurant,['Casual Dining'],['Kopi'],['India'],180000,"Citywalk Sudirman, Lantai 1, Jl. KH Mas Mansyur, Sudirman, Jakarta",3.6,22,Jakarta Pusat,DKI Jakarta,-6.208806,106.818046
35,Ninety-Nine,['Casual Dining'],['Kopi'],"['Barat', 'Fusion', 'Indonesia']",250000,"Grand Indonesia Mall, East Mall, Lantai Lower Ground, Jl. M.H. Thamrin No. 1, Thamrin, Jakarta",4.2,647,Jakarta Pusat,DKI Jakarta,-6.195028,106.821441
36,Bakso Selera,['Kaki Lima'],['Bakso'],['Indonesia'],30000,"Jl. Balai Rakyat No 15, Pondok Bambu, Jakarta",3.8,12,Jakarta Timur,DKI Jakarta,-6.2244106317,106.899785958
37,Tako 'n Sushi Box,['Quick Bites'],"['Sushi', 'Snacks']",['Jepang'],80000,"TerasKota, Lantai 1, Jl. Pahlawan Seribu, Serpong, Tangerang",3.6,36,Tangerang Selatan,Banten,-6.295448,106.667832
38,Routine Coffee & Eatery,['Kafe'],"['Tea', 'Kopi', 'Minuman']","['No Region', 'Indonesia']",210000,"Bintaro Sektor 7, Jl. Wahid Hasyim, Blok FG 14 No. 42, Pondok Aren, Tangerang",4.2,379,Tangerang Selatan,Banten,-6.273409,106.723147
39,Takumi Robata,['Casual Dining'],['Sushi'],['Jepang'],700000,"The MAJ Senayan, Senayan National Golf Club, Jl. Asia Afrika Pintu IX, Senayan, Jakarta",4.1,138,Jakarta Pusat,DKI Jakarta,-6.2247715951,106.797112003
40,First Scoop,['Dessert Parlor'],['Ice Cream'],['Indonesia'],80000,"Pelaspas Dharmawangsa, Jl. Dharmawangsa Raya No. 4, Dharmawangsa, Jakarta",3.5,16,Jakarta Selatan,DKI Jakarta,-6.2546220396,106.802298389
41,Kazuhiro,['Casual Dining'],['Kopi'],['Jepang'],80000,"Supermall Karawaci Lt.1, D'Makan Sutra, Jl. Boulevard Diponegoro No.105, Karawaci, Tangerang",3.9,145,Tangerang Kabupaten,Banten,-6.227426,106.606922
42,OPEN Restaurant - DoubleTree by Hilton Jakarta Diponegoro,['Casual Dining'],['Kopi'],"['Eropa', 'Asia', 'Barat']",700000,"DoubleTree by Hilton Jakarta - Diponegoro, Jl. Pegangsaan Timur No. 17, Cikini - Menteng, Jakarta Pusat 10310",4.2,249,Jakarta Pusat,DKI Jakarta,-6.1989540000000005,106.843099
43,Tjikini,"['Casual Dining', 'Kafe']",['Kopi'],['Indonesia'],180000,"Jl. Cikini No. 17, Cikini, Jakarta",4.2,514,Jakarta Pusat,DKI Jakarta,-6.189794,106.837168
44,LilSpago Cafe & Game House,['Kafe'],"['Kopi', 'Desserts']","['No Region', 'Barat', 'Itali']",100000,"Ruko Grand Galaxy City, Blok RSN 5 No. 22, Jl. Boulevard Raya Barat, Bekasi Selatan, Bekasi",4.0,55,Bekasi Kota,Jawa Barat,-6.274892,106.973609
45,Shanghai Express,['Casual Dining'],['Minuman'],['Chinese'],200000,"Metropole 21, Lantai 1, Jl. Pangeran Diponegoro No. 21, Menteng, Jakarta Pusat",3.2,21,Jakarta Pusat,DKI Jakarta,-6.200191,106.843779
46,Midori,['Casual Dining'],"['Sushi', 'Ramen']","['Indonesia', 'Jepang']",200000,"Jl. Pajajaran No. 53, Bogor Tengah, Bogor",4.1,175,Bogor Kota,Jawa Barat,-6.583666666699999,106.80566666600001
47,WAN 23 Roast Duck,['Casual Dining'],['Kopi'],"['Barat', 'Chinese']",250000,"Citywalk Gajah Mada, Lantai 1, Jl. Gajah Mada No.211, Gajah Mada, Jakarta 11120",4.3,390,Jakarta Barat,DKI Jakarta,-6.145761,106.815468
48,Caffo,"['Casual Dining', 'Kafe']","['Bubur', 'Kopi']","['Asia', 'Barat', 'Indonesia']",150000,"Ruko Cibubur Indah, Blok A No. 8, Jl. Raya Lapangan Tembak, Cibubur, Jakarta 13720",3.7,10,Jakarta Timur,DKI Jakarta,-6.3520491083,106.883124075
49,The Spoke Bistro,['Casual Dining'],['Kopi'],"['Asia', 'Barat']",250000,"Jl. Alam Sutera Boulevard Kav. 12A, Serpong Utara, Tangerang 15325",3.9,122,Tangerang Selatan,Banten,-6.242685,106.654936
50,Mana Coffee,['Toko Minuman'],"['Kopi', 'Minuman']",['No Region'],70000,"PIK Office, Lantai 8, Jl. Boulevard No. 1, Pantai Indah Kapuk, Jakarta",3.5,6,Jakarta Utara,DKI Jakarta,-6.1103489999999985,106.739465
51,J STEAK,['Casual Dining'],"['Tea', 'Steak']","['No Region', 'Barat', 'Jepang']",40000,"Jl. Mahakam No. 11, Blok M, Jakarta",3.9,83,Jakarta Selatan,DKI Jakarta,-6.2449011595,106.795773245
52,Dim Sum Inc.,['Casual Dining'],['Dimsum'],['Chinese'],200000,"Plaza Festival, Lantai Lower Ground, Jl. HR Rasuna Said, Kuningan, Jakarta",3.9,633,Jakarta Selatan,DKI Jakarta,-6.2220092024,106.83309450700001
53,Riung Gili-Gili,['Casual Dining'],['Kopi'],"['Asia', 'Sunda', 'Indonesia']",220000,"Jl. Raya Pajajaran No. 69, Bogor Timur, Bogor",4.0,145,Bogor Kota,Jawa Barat,-6.611325,106.812755
54,Sesepuh Kopi,['Kafe'],"['Kopi', 'Minuman']",['No Region'],80000,"Jl. Minangkabau No. 40, Manggarai, Jakarta",3.0,10,Jakarta Selatan,DKI Jakarta,-6.212713,106.843619
55,Yolé,['Dessert Parlor'],['Desserts'],['Indonesia'],100000,"Gandaria City, Lantai Upper Ground, Jl. Sultan Iskandar Muda, Gandaria, Jakarta",3.3,9,Jakarta Selatan,DKI Jakarta,-6.244098,106.783915
56,Tiaphari Resto & Cafe,"['Casual Dining', 'Kafe']",['Kopi'],"['No Region', 'Indonesia']",250000,"Sutera Food Park, Jl Alam Sutera Boulevard No. 16C, Serpong Utara, Tangerang",3.8,24,Tangerang Selatan,Banten,-6.240389,106.656793
57,Damas Resto,['Casual Dining'],"['Seafood', 'Snacks']",['Arab'],100000,"Jl. Raya Condet No. 6, Kramat Jati, Jakarta",3.4,5,Jakarta Timur,DKI Jakarta,-6.267092,106.860188
58,Fook Yew,['Casual Dining'],"['Minuman', 'Bubble Tea']",['Chinese'],300000,"Grand Indonesia Mall, West Mall, Lantai 3A, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta",4.1,821,Jakarta Pusat,DKI Jakarta,-6.19541,106.820123
59,Baked & Brewed Coffee,"['Toko Kue & Roti', 'Kafe']","['Tea', 'Kopi', 'Minuman', 'Kue & Roti']","['No Region', 'Indonesia']",150000,"Colonial Building, Jl. Salak No. 6, Bogor Tengah, Bogor",4.2,365,Bogor Kota,Jawa Barat,-6.5922227383,106.80226150899999
60,1945 Restaurant - Fairmont Jakarta,['Fine Dining'],['Kopi'],['Indonesia'],1000000,"Fairmont Jakarta, Jl. Asia Afrika No. 8, Senayan, Jakarta",4.0,105,Jakarta Pusat,DKI Jakarta,-6.222467158,106.798726357
61,Hot Cwie Mie Malang,['Quick Bites'],['Bakmi'],"['Jawa', 'Indonesia']",180000,"Jl. TB Simatupang No. 81, Pasar Minggu, Jakarta",3.6,48,Jakarta Selatan,DKI Jakarta,-6.295534,106.827477
62,Nubi Coffee And Bites,['Kafe'],"['Kopi', 'Minuman']",['No Region'],80000,"Jl. Gaharu I 6A, Fatmawati, Jakarta 12410",3.9,69,Jakarta Selatan,DKI Jakarta,-6.279167,106.800618
63,Waroeng Rempah JKT,['Quick Bites'],['Kopi'],['Indonesia'],100000,"Jl. Pejagalan I No. 12, Kota, Jakarta",3.9,15,Jakarta Barat,DKI Jakarta,-6.137555,106.806853
64,RM Indah Jaya Minang,['Quick Bites'],['Kopi'],"['Sumatera', 'Padang']",100000,"Ruko Jalur Sutera, Blok 29C No. 46-48, Jl. Alam Sutera Boulevard, Pinang, Tangerang",4.0,119,Tangerang Selatan,Banten,-6.2365012698,106.659421809
65,Golden Egg Bakery,['Toko Kue & Roti'],"['Desserts', 'Kue & Roti']",['No Region'],100000,"Emporium Pluit Mall, Lantai Lower Ground Mezzanine, Jl. Pluit Selatan Raya, Penjaringan, Jakarta",3.6,47,Jakarta Utara,DKI Jakarta,-6.1273061904,106.790621727
66,Bakmi Loncat,['Quick Bites'],['Bakmi'],"['Indonesia', 'Chinese']",100000,"Ruko Taman Ratu Indah, Jl. Ratu Kemuning, Blok D1 No. 47, Green Ville, Jakarta",3.8,55,Jakarta Barat,DKI Jakarta,-6.167852,106.767547
67,Lotus Mie Udang Singapore,['Quick Bites'],"['Bakmi', 'Seafood']","['Singapura', 'Asia', 'Indonesia']",100000,"Komplek Karina Sayang 2, Blok B No. 5, Jl. Jembatan Tiga, Penjaringan, Jakarta",3.7,23,Jakarta Utara,DKI Jakarta,-6.1288416479,106.79269071600001
68,Gumati Cafe and Resto,"['Casual Dining', 'Kafe']",['Kopi'],"['No Region', 'Barat', 'Fusion', 'Indonesia']",200000,"Jl. Paledang No. 26 & 28, Bogor Tengah, Bogor 16122",3.3,92,Bogor Kota,Jawa Barat,-6.6013531446,106.792700439
69,Nasi Goreng Kebuli Apjay,['Kaki Lima'],['Makanan Jalanan'],"['Arab', 'Indonesia']",70000,"Jl. Panglima Polim 9, Dharmawangsa, Jakarta",4.3,467,Jakarta Selatan,DKI Jakarta,-6.2500680762,106.799879372
70,Ikan Bakar Bambu Haur,['Casual Dining'],['Seafood'],"['Asia', 'Chinese', 'Indonesia']",100000,"Jl. Alternatif Sentul No. 38, Sentul, Bogor",3.7,24,Bogor Kabupaten,Jawa Barat,-6.524617,106.845824
71,The Halal Guys,['Food Court'],['Kopi'],['Timur Tengah'],200000,"Grand Indonesia Mall, West Mall, Lantai 5, FoodPrint, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta",4.0,334,Jakarta Pusat,DKI Jakarta,-6.1948360000000005,106.81981299999998
72,Sate Khas Senayan,['Casual Dining'],['Satay'],['Indonesia'],280000,"Emporium Pluit Mall, Lantai 2, Jl. Pluit Selatan Raya, Penjaringan, Jakarta",3.1,71,Jakarta Utara,DKI Jakarta,-6.126900156900001,106.790807135
73,House89 Restaurant & Cafe,"['Casual Dining', 'Kafe']",['Kopi'],"['No Region', 'Indonesia']",250000,"Jl. Tanjung Duren Barat IV No. 1, Tanjung Duren, Jakarta 11470",3.6,14,Jakarta Barat,DKI Jakarta,-6.1780596126,106.780242919
74,"Ayam Bakar ""Kambal""",['Quick Bites'],['Ayam'],['Jawa'],100000,"Jl. Cipaku 1 No. 19, Senopati, Jakarta",3.5,46,Jakarta Selatan,DKI Jakarta,-6.2396162071,106.81199189200001
75,Bakmi Afu,['Quick Bites'],['Bakmi'],"['Indonesia', 'Chinese']",80000,"Jl. Petojo Sabangan X No. 4, Tanah Abang, Jakarta",3.7,15,Jakarta Pusat,DKI Jakarta,-6.178108,106.815179
76,Hoque's Kitchen,['Quick Bites'],['Kopi'],"['Asia', 'Itali', 'Barat']",100000,"Ruko Premier Park, Jl. Premier Park II, Pinang, Tangerang",3.8,30,Tangerang Kota,Banten,-6.210043555,106.636976748
77,Es Campur Ko Acia,['Quick Bites'],['Snacks'],['Indonesia'],50000,"Jl. Dwiwarna Raya No 5, Sawah Besar, Jakarta",3.5,6,Jakarta Pusat,DKI Jakarta,-6.148399,106.829994
78,Pelangi,['Casual Dining'],['Kopi'],['Makassar'],200000,"Jl. Johar No. 16, Menteng, Jakarta",4.1,158,Jakarta Pusat,DKI Jakarta,-6.187037,106.83144
79,Mbah Jingkrak,['Casual Dining'],['Kopi'],['Indonesia'],120000,"Jl. Ciater Barat No. 25, Setu, Tangerang",3.9,54,Tangerang Selatan,Banten,-6.33094,106.6855
80,Rendezvous,['Casual Dining'],['Kopi'],['Chinese'],350000,"Jl. Johar No. 2B-C, Menteng, Jakarta",4.4,293,Jakarta Pusat,DKI Jakarta,-6.1870400000000005,106.832543
81,Atap Rumah,['Quick Bites'],['Kopi'],"['Itali', 'Indonesia']",100000,"Jl. Penjernihan IV No. 9, Bendungan Hilir, Jakarta",3.6,28,Jakarta Pusat,DKI Jakarta,-6.2067064574,106.804466955
82,Pesto Autentico,['Casual Dining'],"['Sushi', 'Steak']",['Itali'],450000,"Green Office Park BSD City, The Breeze, Jl. Grand Boulevard BSD, Serpong, Tangerang",3.9,147,Tangerang Kabupaten,Banten,-6.302761,106.654919
83,De Hooi,['Bar'],['Kopi'],"['Barat', 'Indonesia']",350000,"Pondok Indah Plaza 2, Jl. Metro Pondok Indah, Pondok Indah, Jakarta",4.3,460,Jakarta Selatan,DKI Jakarta,-6.2863050000000005,106.78083
84,Soto Mie Mang Ohim,['Quick Bites'],"['Bakmi', 'Soto']","['Sunda', 'Indonesia']",80000,"Jl. Taman Cimanggu No. 22, Tanah Sareal, Bogor",3.6,20,Bogor Kota,Jawa Barat,-6.568482,106.785504
85,Crunchaus Salads,['Quick Bites'],['Makanan Sehat'],['Indonesia'],130000,"Pondok Indah Mall 1, Lantai 1, Area 51, Jl. Metro Pondok Indah, Pondok Indah, Jakarta",4.1,76,Jakarta Selatan,DKI Jakarta,-6.266158,106.784876
86,Seafood Ayu,['Kaki Lima'],"['Seafood', 'Makanan Jalanan']",['Asia'],200000,"Ruko Inkopal, Blok A, Jl. Boulevard Barat, Kelapa Gading, Jakarta",4.3,502,Jakarta Utara,DKI Jakarta,-6.1559017757,106.89535193100001
87,Delicious Bakery,['Toko Kue & Roti'],"['Deli', 'Kue & Roti']",['No Region'],70000,"Wisma BNI 46, Lantai Ground, Jl. Jenderal Sudirman, Sudirman, Jakarta",3.2,9,Jakarta Pusat,DKI Jakarta,-6.2037093177,106.820451915
88,Ten Gram Cafe,"['Quick Bites', 'Kafe']",['Kopi'],['No Region'],80000,"Jl. Cipete Raya No. 16, Fatmawati, Jakarta",3.1,4,Jakarta Selatan,DKI Jakarta,-6.277776,106.799139
89,Lekker Story,['Quick Bites'],['Makanan Jalanan'],['Indonesia'],50000,"Jl. Tanjung Duren Raya No. 17B, Tanjung Duren, Jakarta",3.9,92,Jakarta Barat,DKI Jakarta,-6.1803772435000015,106.783583611
90,Icon05 Coffee & Resto,"['Toko Kue & Roti', 'Kafe']","['Kopi', 'Minuman', 'Kue & Roti']","['No Region', 'Indonesia']",210000,"Jl. Bintaro Utama 5, Blok EA-2 No. 47 Bintaro Jaya,, Tangerang, Pondok Aren, Jakarta",3.9,180,Tangerang Selatan,Banten,-6.270556,106.730135
91,OZT Cafe Steak & Ribs,"['Casual Dining', 'Kafe']","['Tea', 'Steak']","['No Region', 'Barat']",250000,"Jl. Boulevard Raya, Blok DF No. 6A, Kelapa Gading, Jakarta 14240",3.6,19,Jakarta Utara,DKI Jakarta,-6.1726559898,106.89794193899999
92,Gurau Coffee & Pastry,"['Toko Kue & Roti', 'Kafe']","['Kopi', 'Minuman', 'Kue & Roti']",['No Region'],120000,"Jl. Panglima Polim IV No 22, Dharmawangsa, Jakarta",3.4,7,Jakarta Selatan,DKI Jakarta,-6.249905,106.799879
93,Bube,['Toko Minuman'],"['Tea', 'Kopi']",['Indonesia'],40000,"Jl. Tanjung Duren Utara IIIA, Tanjung Duren, Jakarta",3.5,10,Jakarta Barat,DKI Jakarta,-6.173249654299999,106.783769354
94,Parc 19,"['Casual Dining', 'Lounge']",['Kopi'],"['Asia', 'Barat']",400000,"Jl. Taman Kemang No. 19, Kemang, Jakarta",4.2,573,Jakarta Selatan,DKI Jakarta,-6.2563287658,106.810322217
95,Jin Mu,['Casual Dining'],['Kopi'],['Chinese'],200000,"Lippo Mall Puri @ The St. Moritz, Jl. Puri Indah Boulevard Blok U No. 1, Puri Indah, Jakarta",3.8,51,Jakarta Barat,DKI Jakarta,-6.1875230000000006,106.738752
96,Revolve Coffee & Eats,['Kafe'],"['Kopi', 'Minuman']","['No Region', 'Barat', 'Itali', 'Asia']",200000,"Rukan Columbus, Blok B No. 11, Jl. Green Lake City Boulevard, Cipondoh, Tangerang",4.0,83,Tangerang Kota,Banten,-6.1850888063,106.707823276
97,Kedai Kopi Tetangga Sebelah,['Toko Minuman'],"['Kopi', 'Minuman']",['No Region'],70000,"Apartemen Laguna, Lantai 2 No. 34A, Jl. Pluit Timur Blok MM, Pluit, Jakarta",3.5,16,Jakarta Utara,DKI Jakarta,-6.1238942322000005,106.79935600600001
98,Gaijin Japanese Fusion,['Casual Dining'],['Kopi'],['Jepang'],300000,"Humble House, Jl. Wijaya 2 No. 123, Dharmawangsa, Jakarta",3.9,38,Jakarta Selatan,DKI Jakarta,-6.2528973106,106.79901737700001
99,Lasagna Gulung,['Quick Bites'],['Kopi'],"['Jawa', 'Barat', 'Indonesia', 'Itali']",70000,"Jl. Salak No. 24, Bogor Tengah, Bogor",4.2,221,Bogor Kota,Jawa Barat,-6.589,106.803
100,Kopi Kosuma,['Kafe'],"['Tea', 'Kopi', 'Minuman']","['No Region', 'Itali', 'Asia']",120000,"Jl. Raya Condet No. 158A, Kramat Jati, Jakarta",2.8,9,Jakarta Timur,DKI Jakarta,-6.2865789866999995,106.855519451
101,Sederhana Lintau,['Quick Bites'],['Kopi'],"['Indonesia', 'Padang']",70000,"Jl. Mangga Besar Raya, Sawah Besar, Jakarta",2.9,4,Jakarta Pusat,DKI Jakarta,-6.149021867899999,106.83240015
102,Smarapura,['Quick Bites'],['Kopi'],"['Indonesia', 'Bali']",150000,"Jl. Tebet Timur Dalam 2 No. 43, Tebet, Jakarta 12820",4.3,429,Jakarta Selatan,DKI Jakarta,-6.228672,106.856384
103,Kinokawa,['Casual Dining'],['Sushi'],['Jepang'],300000,"Fairgrounds, SCBD Lot 14, Jl. Jenderal Sudirman, SCBD, Jakarta",4.0,77,Jakarta Selatan,DKI Jakarta,-6.226372763,106.807361394
104,Sate Ayam Barokah H Basiri,['Quick Bites'],"['Ayam', 'Satay']",['Indonesia'],100000,"Jl. Sultan Iskandar Muda No. 5A, Gandaria, Jakarta",3.7,14,Jakarta Selatan,DKI Jakarta,-6.2406190000000015,106.783105
105,Kedai Art of Soya,['Dessert Parlor'],['Desserts'],['Medan'],40000,"Jl. Sentra Onderdil II, Blok FB No. 61, Medan Satria, Bekasi 17132",3.7,30,Bekasi Kota,Jawa Barat,-6.179016000000002,106.981848
106,The Grand Duck King,['Casual Dining'],['Kopi'],['Chinese'],400000,"Grand Indonesia Mall, East Mall, Lantai 3A, Jl. M.H. Thamrin No. 1, Thamrin, Jakarta",4.3,256,Jakarta Pusat,DKI Jakarta,-6.194733,106.82175
107,Bakso Bakwan Malang,['Quick Bites'],"['Bakso', 'Snacks']","['Jawa', 'Indonesia']",40000,"Taman Jajan CBD, Jl. Boulevard Bintaro Jaya, Bintaro Sektor 7, Pondok Aren, Tangerang 12750",3.5,11,Tangerang Selatan,Banten,-6.278714658099999,106.724723205
108,Martabak Air Mancur,['Quick Bites'],"['Martabak', 'Makanan Jalanan']",['Indonesia'],70000,"Jl. Jend. Sudirman No. 64, Bogor Tengah, Bogor",3.9,69,Bogor Kota,Jawa Barat,-6.581720265,106.796936318
