Restaurant Name,Restaurant Area,Restaurant Address,Latitude,Longitude,Province,City,District/Kecamatan
Holy Smokes,Senopati,"Jl. Wolter Monginsidi No. 27, Senopati, Jakarta",-6.2391432684,106.807954162,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
Pempek Megaria,Cikini,"Metropole 21, Jl. Pegangsaan Timur No. 21, Cikini, Jakarta",-6.1999,106.843739,DKI Jakarta,Jakarta Pusat,Menteng
Tjikinii Lima,Cikini,"Jl. Cikini I No. 5, Cikini, Jakarta 10330",-6.1898019937,106.837150007,DKI Jakarta,Jakarta Pusat,Menteng
Gado-Gado Bon-Bin,Cikini,"Jl. Cikini 4 No. 5, Cikini, Jakarta",-6.192958999999999,106.838377,DKI Jakarta,Jakarta Pusat,Menteng
Koffie Fictie,Bekasi Selatan,"Grand Galaxy Park, Ruko RSOD No. 026, Jl. Lotus Utara, Bekasi Selatan, Bekasi",-6.272059,106.970932,Jawa Barat,Bekasi Kota,Bekasi Selatan
Soto Mie Bogor,Setiabudi,"Loksem JS 03 - Setiabudi Selatan, Jl. H.R. Rasuna Said Kav. C3, Kuningan, Jakarta",-6.2135949475,106.829066164,DKI Jakarta,Jakarta Selatan,Setiabudi
Soto Adam,Serpong,"ITC BSD, Lantai 2, Food Court, Jl. Pahlawan Seribu,, Tangerang, Serpong Utara, Jakarta",-6.286445,106.664567,Banten,Tangerang Selatan,Serpong
Ini Yaya,Thamrin,"Thamrin 10, Jl. M.H Thamrin No. 10, Thamrin, Jakarta",-6.184835,106.823781,DKI Jakarta,Jakarta Pusat,Menteng
Pempek 99,Cinere,"Sentra Bazaar Cinere, Lantai Ground, Jl. Cinere Raya, Cinere, Depok Depok, Cinere, Jakarta",-6.333444999999998,106.78386100000002,Jawa Barat,Depok,Cinere
Kantin Berkah Jaya,Gunung Sahari,"Mega Glodok Kemayoran, Lantai 3, Food Court, Jl. Angkasa, Gunung Sahari, Jakarta",-6.1548550781,106.849399656,DKI Jakarta,Jakarta Pusat,Kemayoran
Ayam Bakar Samrat,Karet,"Jl. Prof. DR. Satrio No. 21 C, Karet, Jakarta",-6.2174999518,106.81927677200001,DKI Jakarta,Jakarta Selatan,Setiabudi
Sakeca - Horison Hotel Ciledug,Larangan,"Hotel Horison Ciledug, Jl. Ciledug Raya No. 17, Larangan, Tangerang",-6.237508,106.746905,Banten,Tangerang Kota,Larangan
Monkey Bean Corner,Kuningan,"CoHive 101, Jl. Mega Kuningan Barat, Blok E No. 1, Kuningan. Jakarta",-6.2268530457,106.82528425,DKI Jakarta,Jakarta Selatan,Setiabudi
Bakmi Udang Lotus,Mangga Dua,"Pasar Pagi Mangga Dua, Lantai 6, Food Court, Jl. Mangga Dua Raya, Mangga Dua, Jakarta",-6.1358941611,106.823124736,DKI Jakarta,Jakarta Utara,Pademangan
Dapoer Temen Gue,Meruya,"Jl. Joglo Raya No.69, Meruya, Jakarta",-6.219019,106.731445,DKI Jakarta,Jakarta Barat,Kembangan
Chicken Jab,Pondok Aren,"Bintaro Jaya Xchange Mall CBD, Lantai 1, Food Xchange, Jl. Boulevard Bintaro Jaya, Pondok Aren, Tangerang",-6.2868642572,106.72788452299999,Banten,Tangerang Selatan,Pondok Aren
Coffee Don Go,Serpong,"BSD Sektor 1.2, Jl. Rawabuntu Utara, Blok V2 No. 21A, Serpong, Tangerang",-6.299905,106.681558,Banten,Tangerang Selatan,Serpong
Dapoer Prasmanan Aunty Nelly,Kelapa Gading,"Boulevard Raya Blok QF 1 No.25., Kelapa Gading, Jakarta",-6.149309,106.909265,DKI Jakarta,Jakarta Utara,Kelapa Gading
Pawon Demak,Kampung Melayu,"Tamansari Hive, Lantai 2, Wiki Wiki Wok, Food Runway, Jl. D.I. Panjaitan, Kampung Melayu, Jakarta",-6.244904,106.875444,DKI Jakarta,Jakarta Timur,Jatinegara
Lovely Geprek,Beji,"Depok Town Square, Lantai 2, Food Square, Jl. Margonda Raya, Beji, Depok",-6.3726682135,106.832375675,Jawa Barat,Depok,Beji
Rumah Makan Mutiara Sunda,Medan Satria,"Jl. Boulevard Hijau, Blok B8 No. 53, Medan Satria, Bekasi",-6.186167,106.980944,Jawa Barat,Bekasi Kota,Medan Satria
Booba House,Tanjung Duren,"Jl. Tanjung Duren Raya No. 526B, Tanjung Duren, Jakarta",-6.181954,106.783637,DKI Jakarta,Jakarta Barat,Grogol Petamburan
Siomay Batagor Satya Tenggiri,Sunter,"Jl. Agung Utara 24 No. 23, Sunter, Jakarta",-6.138744,106.861207,DKI Jakarta,Jakarta Utara,Tanjung Priok
Warung Kopi Gue,Gunung Sahari,"Jl. Pademangan 1 Raya, Gg. 5 No.1B, Gunung Sahari",-6.1423042134,106.84295564799999,DKI Jakarta,Jakarta Utara,Pademangan
Nasi Bakar Pangestu,Mangga Besar,"Jl. Taman Sari Vlll No. 104, Mangga Besar, Jakarta",-6.156111,106.819705,DKI Jakarta,Jakarta Barat,Tamansari
Teguk,Cimanggis,"Jl. H. Moat, Cimanggis, Depok",-6.3556855015,106.84276655299999,Jawa Barat,Depok,Cimanggis
Sate Taichan Yoman,Daan Mogot,"Food & Fit Station, Ruko CityWalk, Blok C No. 15-17. Jl. Kresek Raya No. 89, Daan Mogot, Jakarta",-6.177664,106.715109,DKI Jakarta,Jakarta Barat,Cengkareng
Bakmi Keriting Pematang Siantar 36,Grogol,"Jl. Dr. Susilo III No. 18-22, Grogol, Jakarta",-6.164416,106.791492,DKI Jakarta,Jakarta Barat,Grogol Petamburan
Takoyaki Octopus Ball,Pinang Ranti,"Tamini Square, Lantai Upper Ground, Jl. Taman Mini 1, Pinang Ranti, Jakarta",-6.2912439390999975,106.88196167299999,DKI Jakarta,Jakarta Timur,Makasar
Mie Jogja Pak Karto,Meruya,"Kampung Makan Joglo 21, Jl. Joglo Raya No. 21, Meruya, Jakarta",-6.220059,106.739814,DKI Jakarta,Jakarta Barat,Kembangan
Kopi Soldadu Premium,Bogor Tengah,"Jl. Raya Pajajaran No. 26, Babakan, Bogor Tengah, Bogor",-6.5913987487,106.80459201299999,Jawa Barat,Bogor Kota,Bogor Tengah
Jumbo Strudle Bogor,Bogor Tengah,"Jl. Raya Pajajaran No. 3f, Baranangsiang, Bogor Tengah, Bogor",-6.603189,106.805721,Jawa Barat,Bogor Kota,Bogor Timur
Pie Hongki,Pluit,"Jl. Pluit Karang Utara No.88, Pluit, Jakarta",-6.1106818975,106.776066049,DKI Jakarta,Jakarta Utara,Penjaringan
Rumah Makan Pandawalima,Bogor Utara,"Jl. Achmad Adnawijaya No. 99, Bogor Utara, Bogor",-6.570556,106.814806,Jawa Barat,Bogor Kota,Bogor Utara
Marika Mie Kocok Bandung,Bekasi Utara,"Summarecon Mall Bekasi, Lantai Ground, Jl. Ahmad Yani, Bekasi Utara, Bekasi",-6.2257464949,107.00230233299999,Jawa Barat,Bekasi Kota,Bekasi Utara
Scoopter,Fatmawati,"Eleven Trees, Jl. Intan Ujung No. 11, Fatmawati, Jakarta",-6.2957682164,106.803211346,DKI Jakarta,Jakarta Selatan,Cilandak
Potato Station,Kelapa Gading,"Mall Artha Gading, Lantai 1, Jl. Boulevard Artha Gading, Kelapa Gading, Jakarta",-6.1465937615999975,106.891609914,DKI Jakarta,Jakarta Utara,Kelapa Gading
AZ Coffee & Jajan,Medan Satria,"Jl. Bangau 8 No. 5, Harapan Jaya, Medan Satria, Bekasi",-6.203138,106.99130900000002,Jawa Barat,Bekasi Kota,Bekasi Utara
Yong Tau Fu,Cempaka Putih,"Apartemen The Green Pramuka City, Lantai Ground, Jl. Jend. Ahmad Yani, Cempaka Putih, Jakarta, Cempaka Putih, Jakarta",-6.1903366411,106.874292232,DKI Jakarta,Jakarta Pusat,Cempaka Putih
Soto Kudus Palem Dua,Cibubur,"Jl. Alternatif Cibubur, Cibubur, Jakarta",-6.3849739725,106.936067864,Jawa Barat,Bogor Kabupaten,Gunung Putri
Bebek Kwek Kwek,Cinere,"Cinere Mall, Lantai Basement, Food Court, Jl. Cinere Raya No. 1, Cinere, Depok",-6.3241486916,106.783905141,Jawa Barat,Depok,Cinere
Radja Cobek,Bekasi Utara,"Jl. Raya Karang Satria No. 72, Bekasi Utara, Bekasi",-6.2242523144,107.041726447,Jawa Barat,Bekasi Kabupaten,Tambun Utara
MAJAME Street Food Cafe,Pondok Aren,"Jl. Kasuari Raya Blok HB 2 No. 19B, Pondok Aren, Tangerang",-6.279124,106.710516,Banten,Tangerang Selatan,Pondok Aren
Alternative Coffee,Pondok Indah,"Melodia Musik, Jl. Sultan Iskandar Muda No. 15B, Pondok Indah, Jakarta",-6.25855,106.781985,DKI Jakarta,Jakarta Selatan,Kebayoran Lama
Mie Kingkong,Bogor Tengah,"Bogor Trade Mall, Lantai 3, Food Court, Jl. Ir H Juanda No. 68, Bogor Tengah, Bogor",-6.6053737473,106.795413829,Jawa Barat,Bogor Kota,Bogor Tengah
Resto Cibalung,Bogor Timur,"Resto Cibalung, Bogor, Jakarta, Bogor Timur, Bogor 16136",-6.690194,106.808274,Jawa Barat,Bogor Kabupaten,Cijeruk
Kopi Cinta,Pasar Minggu,"Jl. Aup Barat I No. 45, Pasar Minggu, Jakarta",-6.295911,106.834127,DKI Jakarta,Jakarta Selatan,Pasar Minggu
Jim's and Cat,Bekasi Selatan,"Galaxy Food Court, Jl. Boulevard Raya, Blok U No. 1, Bekasi Selatan, Bekasi",-6.258711,106.972526,Jawa Barat,Bekasi Kota,Bekasi Selatan
Muamalat Hijrah Coffee,Kuningan,"Jl. Prof. DR. Satrio No. Kav. 18, Kuningan, Jakarta",-6.225007,106.8307,DKI Jakarta,Jakarta Selatan,Setiabudi
Lapis Talas Laris,Serpong Utara,"Ruko Paramount Blitz, Blok A No. 23, Jl. Boulevard Raya Gading Serpong, Serpong Utara, Tangerang",-6.2452747736,106.612140834,Banten,Tangerang Kabupaten,Kelapa Dua
Waroeng_eat.NOW,Ciputat Timur,"Jl. Pesanggrahan No. 43, Ciputat Timur, Tangerang",-6.307219,106.754077,Banten,Tangerang Selatan,Ciputat Timur
Kedai Ayam Geprek & Pempek Palembang Mantul,Rawalumbu,"Jl. Lumbu Utara IIB No. 203, Rawalumbu, Bekasi",-6.284914350399999,107.000777162,Jawa Barat,Bekasi Kota,Rawalumbu
Bakmi Tarix,Roxy,"ITC Roxy Mas, Lantai Basement, Jl. KH Hasyim Ashari, Roxy, Jakarta",-6.167255,106.803217,DKI Jakarta,Jakarta Pusat,Gambir
Una Nha Drink,Pondok Aren,"Jl. Jombang Raya No.40, Pondok Aren, Tangerang",-6.284232,106.702129,Banten,Tangerang Selatan,Pondok Aren
Kuliner Jadoel,Gambir,"Jl. Veteran I, Gambir, Jakarta",-6.169855,106.829884,DKI Jakarta,Jakarta Pusat,Gambir
Lapo Tao Toba dan Bakmi Siantar,Kemayoran,"ITC Cempaka Mas, Lantai 5, Food Court, Jl. Letjen Suprapto, Kemayoran, Jakarta",-6.1648579559000005,106.877500824,DKI Jakarta,Jakarta Pusat,Kemayoran
Sambalin,Jatiuwung,"Food Culinary, Jl. Taman Permata No. 301, Jatiuwung, Tangerang 15117",-6.2235480516,106.587298549,Banten,Tangerang Kabupaten,Curug
Bebek Renon,Lebak Bulus,"Jl. Lebak Bulus Raya 1 No. 10, Lebak Bulus, Jakarta",-6.293663,106.78238600000002,DKI Jakarta,Jakarta Selatan,Cilandak
Pondok Selera,Mangga Dua,"Pasar Pagi Mangga Dua, Lantai 6, Food Court, Jl. Mangga Dua Raya, Mangga Dua, Jakarta",-6.1359651658,106.82306472200001,DKI Jakarta,Jakarta Utara,Pademangan
Planet Drinks,Cibubur,"Food Court Fox, Taman Rekreasi Wiladatika Jl. Jambore No. 1, Cibubur, Jakarta",-6.3697146807000005,106.892228834,Jawa Barat,Depok,Cimanggis
Fun Thai Tea,Ancol,"Taman Impian Jaya Ancol, Dunia Fantasi, Jl. Lodan No. 7, Ancol, Jakarta",-6.122797,106.830826,DKI Jakarta,Jakarta Utara,Pademangan
Ayam Lunak Kremes Oma Rina,Matraman,"Jl. Matraman Raya No 141A, Matraman, Jakarta",-6.20913,106.859769,DKI Jakarta,Jakarta Timur,Matraman
Dapur Painan,Jagakarsa,"Puri Rinda Residence, Ruko A1, Jl. Moh. Kahfi 1, Jagakarsa, Jakarta",-6.3306570798,106.808587499,DKI Jakarta,Jakarta Selatan,Jagakarsa
Gold Digger Coffe & Co.,Pasar Minggu,"Gedung ANTAM, Jl. TB. Simatupang No. 1, Pasar Minggu, Jakarta",-6.301949,106.843474,DKI Jakarta,Jakarta Selatan,Jagakarsa
d'Cobek,Bintaro,"D' Hoek, Jl. Bintaro Utama, Bintaro, Jakarta",-6.271864,106.755711,DKI Jakarta,Jakarta Selatan,Pesanggrahan
RM Wong Tegal,Tanjung Duren,"Jl. Tanjung Duren Barat 6 No. 5, Tanjung Duren, Jakarta",-6.1823148725,106.782992184,DKI Jakarta,Jakarta Barat,Grogol Petamburan
Bumbu Ireng Yu San,Tanah Sareal,"Jl. Heulang No. 1, Tanah Sareal, Bogor",-6.567482000000001,106.801351,Jawa Barat,Bogor Kota,Tanah Sereal
Ngentol Yuk!,Bendungan Hilir,"Jl. Bendungan Walahar No. 1, Bendungan Hilir, Jakarta",-6.215936,106.814167,DKI Jakarta,Jakarta Pusat,Tanah Abang
Martabak Hokky,Kec. Tangerang,"Ruko Permata Niaga 3, Jl. Taman Royal, Kec. Tangerang, Tangerang",-6.171423,106.584468,Banten,Tangerang Kota,Periuk
RM Manado Andy Watung,Cempaka Putih,"Jl. Jenderal Ahmad Yani No.14A, Cempaka Putih, Jakarta",-6.1873434084,106.875244081,DKI Jakarta,Jakarta Pusat,Cempaka Putih
Ini Cafe,Bogor Utara,"Jl. Pandu Raya No. 47, Bogor Utara, Bogor",-6.5840870296,106.817524284,Jawa Barat,Bogor Kota,Bogor Utara
Boo Ba,Grogol,"PHX Grogol, Lantai 1, Jl. Dr. Susilo No. 342, Grogol, Jakarta",-6.165874,106.791983,DKI Jakarta,Jakarta Barat,Grogol Petamburan
Hidangan Sederhana,Cimanggis,"Jl. Pekapuran No. 152, Cimanggis, Depok",-6.3999859182000005,106.877840459,Jawa Barat,Depok,Tapos
Fake Burger,Cipayung,"Jl. Cipayung Raya No. 62, Cipayung, Jakarta",-6.332917,106.892559,DKI Jakarta,Jakarta Timur,Cipayung
Nasi Kebuli Bang JeJe,Cibodas,"Ruko CBD Palem Semi, Jl. Palem Raja Raya No. 27, Cibodas, Tangerang",-6.218761,106.614554,Banten,Tangerang Kota,Cibodas
Warung Ibu Lena,Serpong Utara,"WTC Matahari, Lantai Upper Ground, Food Court, Jl. Raya Serpong, Serpong Utara, Tangerang",-6.266234,106.655543,Banten,Tangerang Selatan,Serpong Utara
Ayam Gepuk Merapi,Kuningan,"Kuningan City, Lantai 3, Urbaneat, Jl. Prof Dr Satrio, Kuningan, Jakarta",-6.224834,106.829345,DKI Jakarta,Jakarta Selatan,Setiabudi
Karaagee Oishi,Pondok Bambu,"Mall Cipinang Indah, Lantai Lower Ground, Jl. Cipinang, Pondok Bambu, Jakarta",-6.2382360514999995,106.894467137,DKI Jakarta,Jakarta Timur,Duren Sawit
Xing Fu Vegetarian,Mangga Dua,"Jl. Mangga Dua Dalam No. 156E, Mangga Dua, Jakarta",-6.1398480747000015,106.82518500799999,DKI Jakarta,Jakarta Pusat,Sawah Besar
Snack Seafood,Ancol,"Taman Impian Jaya Ancol, Dunia Fantasi, Jl. Lodan No. 7, Ancol, Jakarta",-6.123831,106.83066,DKI Jakarta,Jakarta Utara,Pademangan
Kwetiaw Sapi Gajah Mada 89,Mangga Dua,"Pasar Pagi Mangga Dua, Lantai 6, Food Court, Jl. Mangga Dua Raya, Mangga Dua, Jakarta",-6.1359254965,106.822997666,DKI Jakarta,Jakarta Utara,Pademangan
Soto Mie Jason,Tanah Abang,"Metro Tanah Abang, Lantai 6, Food Gallery, Jl. KH Mas Mansyur, Tanah Abang, Jakarta",-6.187599,106.816329,DKI Jakarta,Jakarta Pusat,Tanah Abang
Soto Lamongan & Nasi Goreng Spesial Ibu Romlah,Gambir,"Lenggang Jakarta, Blok D-18, Jl. Medan Merdeka Selatan, Gambir, Jakarta",-6.180331,106.825589,DKI Jakarta,Jakarta Pusat,Gambir
Bakso Komet,Cawang,"Pusat Grosir Cililitan, Lantai Ground, Jl. Mayjen Sutoyo No. 76, Cawang, Jakarta",-6.260646,106.866091,DKI Jakarta,Jakarta Timur,Kramatjati
Pizza Diva,Bekasi Utara,"Summarecon Mall Bekasi, Food Hall, Lantai Ground, Jl. Ahmad Yani, Bekasi Utara, Bekasi",-6.2270236943,107.00035169700001,Jawa Barat,Bekasi Kota,Bekasi Utara
Pisang Goreng Ro' ah,Kelapa Gading,"Mall Kelapa Gading 3, Lantai 3, Eat & Eat, Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta",-6.157157,106.909006,DKI Jakarta,Jakarta Utara,Kelapa Gading
Ropang City,Grogol,"Jl. Dr. Muwardi I No. 37, Grogol, Jakarta",-6.164295,106.794179,DKI Jakarta,Jakarta Barat,Grogol Petamburan
Al Arabii Restaurant,Cawang,"Jl. Letjen M.T. Haryono No.377, Cawang, Jakarta",-6.245128,106.86852,DKI Jakarta,Jakarta Timur,Kramatjati
JONI Kitchen & Dimsum,Daan Mogot,"Ruko Seventh Walk, Jl. Citra Garden VII, Blok A1 No. 6, Daan Mogot, Jakarta",-6.144707,106.700952,DKI Jakarta,Jakarta Barat,Kalideres
Teh Tarik Jun's,Beji,"Jl. Margonda Raya No. 489 A, Beji, Depok",-6.363563,106.833413,Jawa Barat,Depok,Beji
Nasi Campur Cemara,Cipondoh,"Rukan Great Wall B.98, Jl. Green Lake City Boulevard, Cipondoh, Tangerang",-6.1896510000000005,106.700583,Banten,Tangerang Kota,Cipondoh
Soto Kudus Cideng,Tanah Abang,"Jl. Cideng Barat Dalam No. 4B, Tanah Abang, Jakarta",-6.181209,106.813089,DKI Jakarta,Jakarta Pusat,Gambir
Bakso Podomoro,Cakung,"Jl. Penggilingan Elok, No. 49, Cakung, Jakarta",-6.1957664153,106.93561054700001,DKI Jakarta,Jakarta Timur,Cakung
Orchard Road Ice Cream Singapore,Kelapa Gading,"Mall Artha Gading, Lantai 1, Jl. Boulevard Artha Gading, Kelapa Gading, Jakarta",-6.1464070863,106.892141327,DKI Jakarta,Jakarta Utara,Kelapa Gading
Nasi Goreng Semarang,Senen,"Plaza Atrium, Lantai 4, Food Colony, Jl. Senen Raya No. 135, Senen, Jakarta",-6.1769166265,106.841102242,DKI Jakarta,Jakarta Pusat,Senen
Sop Iga & Soto Ayam Fatimah,Gambir,"Lenggang Jakarta, Blok C-6 Jl. Medan Merdeka Selatan, Gambir, Jakarta",-6.179823000000002,106.825273,DKI Jakarta,Jakarta Pusat,Gambir
Phet Coffee,Jatisampurna,"Jl. Raya Pasar Kranggan Ruko. 9 Jatisampurna, Bekasi",-6.362645325800001,106.9222394,Jawa Barat,Bekasi Kota,Jatisampurna
Bakmi Siantar Tujuh Naga,Kelapa Gading,"Mall Kelapa Gading 3, Lantai 3, Eat & Eat, Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta",-6.1571841440999995,106.90998539299999,DKI Jakarta,Jakarta Utara,Kelapa Gading
The Grit Coffee and Talent House,Pinang Ranti,"Jl. Raya Pondok Gede No. 15, Pinang Ranti, Jakarta",-6.290491,106.883843,DKI Jakarta,Jakarta Timur,Makasar
Kopi Kopi,Pasar Minggu,"Pejaten Village, Eat and Eat, Lantai 3, Jl. Warung Jati Barat, Pasar Minggu, Jakarta",-6.2807389059000025,106.82875067,DKI Jakarta,Jakarta Selatan,Pasar Minggu
Kopi Senayan,Senayan,"Hanglekir Exchange, Jl. Hang Lekir No. 2, Senayan, Jakarta",-6.232135,106.795787,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
Ketupat Rusmini,Tebet,"Kota Kasablanka, Lantai 2, Eat & Eat, Jl. Casablanca Raya, Tebet, Jakarta",-6.224126999999998,106.843212,DKI Jakarta,Jakarta Selatan,Tebet
Geprek Mewek,Larangan,"Jl. H. Adam Malik No.65, Larangan, Tangerang",-6.244663,106.74593,Banten,Tangerang Kota,Larangan
Bakmi Korio,Serpong Utara,"Pasar 8, Ruko RH 11, Jl. Jalur Sutera, Serpong Utara, Tangerang",-6.2390859425,106.651706099,Banten,Tangerang Selatan,Serpong Utara
Gerobak Lattee,Sawangan,"Jl. Raya Bojongsari No. 23, Sawangan, Depok",-6.403756,106.74168799999998,Jawa Barat,Depok,Bojongsari
Green Bowl,Cengkareng,"Ruko Taman Palem Lestari, Jl. Taman Palem Lestari, Cengkareng, Jakarta",-6.1349177623000015,106.719622649,DKI Jakarta,Jakarta Barat,Cengkareng
Bebek Goreng Hartati,Gunung Sahari,"Golden Truly Mall, Lantai 1, Food Court, Jl. Gunung Sahari No. 59, Gunung Sahari, Jakarta",-6.1618885796,106.839046664,DKI Jakarta,Jakarta Pusat,Kemayoran
Dapur Kurnia,Taman Mini,"Taman Mini Indonesia Indah, Jl. Dunia Air Tawar, Taman Mini, Jakarta",-6.304474,106.895678,DKI Jakarta,Jakarta Timur,Cipayung
Waroeng Citra,Serpong Utara,"Jl. Komp. Duta Bintaro, Blok A2 No. 1, Serpong Utara, Tangerang",-6.231223,106.67258,Banten,Tangerang Selatan,Serpong Utara
Yuniknak,Dharmawangsa,"D'Cube, Jl. Wolter Monginsidi No. 104, Dharmawangsa, Jakarta",-6.23915,106.815279,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
Warung Kaikee,Kemang,"Jl. Kemang Raya No. 31, Kemang, Jakarta",-6.255764856900001,106.81420303799999,DKI Jakarta,Jakarta Selatan,Mampang Prapatan
"Masakan Khas Medan ""Sasa""",Mangga Dua,"Mangga Dua Square, Lantai 3, Food City, Jl. Gunung Sahari, Mangga Dua, Jakarta",-6.1382173098,106.831414438,DKI Jakarta,Jakarta Utara,Pademangan
Pempek Palembang Rudi Rakino,Dharmawangsa,"Loksem JS 32 - Pujasera Melawai, Jl. Melawai No.22, Melawai, Jakarta",-6.247555114,106.800790652,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
Kedai Tus Tus,Pondok Aren,"Pondok Pucung Indah 2, Jl. Jombang Raya, Blok A 23 No. 6B, Pondok Aren, Tangerang",-6.287168,106.703,Banten,Tangerang Selatan,Pondok Aren
I Love Crepes,Bekasi Selatan,"Revo Town, Lantai Lower Ground, Jl. Jend. Ahmad Yani, Bekasi Selatan, Bekasi",-6.254589,106.989819,Jawa Barat,Bekasi Kota,Bekasi Selatan
Nasi Goreng Gila & Soto Ayam Warung Ridwan,Gambir,"Lenggang Jakarta, Blok A-18 Jl. Medan Merdeka Selatan, Gambir, Jakarta",-6.1800909152,106.82532448299999,DKI Jakarta,Jakarta Pusat,Gambir
Coffee In The Day,Cibodas,"Jl. Imam Bonjol No. 32, Cibodas, Tangerang",-6.221542,106.616439,Banten,Tangerang Kota,Cibodas
Cane Coffee,Jagakarsa,"Jl. Tj. Barat Raya No.2B, Jagakarsa, Jakarta",-6.31036,106.838899,DKI Jakarta,Jakarta Selatan,Jagakarsa
Mie Ayam Selaras,Sukmajaya,"Jl. Tole Iskandar, Sukmajaya, Depok",-6.4068531825,106.840693205,Jawa Barat,Depok,Sukma Jaya
Warong Manado,SCBD,"Energy Building, Lantai B1, Food Court, Jl. Jenderal Sudirman, SCBD, Jakarta",-6.225992,106.806427,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
Ayam Taliwang,Jatinegara,"Mall@Bassura City, Lantai 2, Eat & Eat, Jl. Jendral Basuki Rahmat No. 1, Jatinegara, Jakarta",-6.2235880476,106.878541857,DKI Jakarta,Jakarta Timur,Jatinegara
Cowcow Brico,Sudirman,"Wisma Keiai - Kyoei Prince, Lantai Basement, Jl. Jenderal Sudirman, Sudirman, Jakarta",-6.2061644937,106.821625717,DKI Jakarta,Jakarta Pusat,Tanah Abang
Gado Gado Ny. Moy,Senen,"Plaza Atrium, Lantai 4, Food Colony, Jl. Senen Raya number. 135, Jakarta, Indonesia",-6.1771159575,106.84114515700001,DKI Jakarta,Jakarta Pusat,Senen
Pempek Bro!,Cengkareng,"Jl. Mutiara Taman Palem, Blok B8 No. 61, Cengkareng, Jakarta",-6.1420561999,106.731876656,DKI Jakarta,Jakarta Barat,Cengkareng
"Sop Kaki Kambing ""Bang Mail""",Senopati,"Pujasera Blok S, Food Court, Jl. Birah 7, Senopati, Jakarta",-6.2366232546,106.81524708799999,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
Geometry Haircut & Coffee,Cimanggis,"Jl. Pondok Duta Raya No. 61, Cimanggis, Depok",-6.368415174299999,106.848427355,Jawa Barat,Depok,Cimanggis
Mie Bangka,Gunung Sahari,"Jl. Gunung Sahari Raya No. 2, Gunung Sahari, Jakarta",-6.137709,106.83288799999998,DKI Jakarta,Jakarta Utara,Pademangan
KepitingQu,Pondok Melati,"Jl. Puri Gading Raya No. 2, Pondok Melati, Bekasi",-6.314702035599999,106.940083466,Jawa Barat,Bekasi Kota,Pondok Melati
Lobstar,Beji,"Jl. Ir H. Juanda No. 25, Beji, Depok",-6.3780827572000005,106.834187842,Jawa Barat,Depok,Beji
Pecel Ayam & Pecel Lele,Puri Indah,"Loksem Puri Kencana, Jl. Puri Kencana No. J1/N, Puri Indah, Jakarta",-6.191042948200001,106.745005063,DKI Jakarta,Jakarta Barat,Kembangan
Pondok Bakso Masdhi,Neglasari,"Jl. Marsekal Surya Darma, Neglasari, Tangerang",-6.151703,106.632909,Banten,Tangerang Kota,Neglasari
Himura Coffee,Pancoran Mas,"Gedung Parkir Cahaya Bersaudara, Jl. Kampung Lio No.34, Pancoran Mas, Depok",-6.39074,106.820145,Jawa Barat,Depok,Pancoran Mas
Baso Malang Cak Kris,Cibodas,"Supermal Karawaci, Lantai 1, Makansutra, Jl. Boulevard Diponegoro No. 105, Cibodas, Tangerang",-6.226891,106.607095,Banten,Tangerang Kabupaten,Kelapa Dua
Fiesta Ready Meal,Cawang,"Pusat Grosir Cililitan, Lantai Ground, Halte Walk, Jl. Mayjen Sutoyo No. 76, Cawang, Jakarta",-6.168595,106.786314,DKI Jakarta,Jakarta Barat,Grogol Petamburan
Kopilaku,Bekasi Selatan,"Galaxy Food Court, Jl. Pulo Sirih Utama Blok U No. 1, Bekasi Selatan, Bekasi",-6.258768,106.972594,Jawa Barat,Bekasi Kota,Bekasi Selatan
Kedai Betawi Encing,Pasar Minggu,"D'hara 24 Foodcourt, Jl. Salihara No. 16, Pasar Minggu, Jakarta",-6.282354,106.838387,DKI Jakarta,Jakarta Selatan,Pasar Minggu
Wins Cafe & Bistro,Cipayung,"Ruko Green View, Blok A No. 4-5, Jl. Cipayung Raya, Cipayung, Jakarta",-6.3327339999999985,106.891386,DKI Jakarta,Jakarta Timur,Cipayung
Sop Ikan Batam & Rames Sunda Zulmi,Gambir,"Lenggang Jakarta, Blok B-13, Jl. Medan Merdeka Selatan, Gambir, Jakarta",-6.180111,106.825134,DKI Jakarta,Jakarta Pusat,Gambir
Pork Shelter,Serpong Utara,"Ps. Delapan, Jl. Alam Sutera Boulevard, Serpong Utara, Tangerang",-6.240249,106.651593,Banten,Tangerang Selatan,Serpong Utara
Intermezzo,Pondok Aren,"Taman Jajan CBD, Jl. Boulevard Bintaro Jaya, Bintaro Sektor 7, Pondok Aren, Tangerang",-6.278449,106.725356,Banten,Tangerang Selatan,Pondok Aren
Lius Coffee,Makasar,"Bandara Halim Perdanakusuma, Jl. Protokol Halim Perdana Kusuma, Makasar, Jakarta",-6.265024,106.885708,DKI Jakarta,Jakarta Timur,Makasar
