Restaurant Name,Restaurant Type,Cuisine Type,Restaurant Area,Restaurant Rating,Review Counts,Latitude,Longitude,Website,Restaurant Address,Price for 2,Additional Info
Holy Smokes,Casual Dining,"['Grill House', 'Steak']",Senopati,4.4,"1,437 Ulasan",-6.2391432684,106.807954162,"https://www.zomato.com/id/jakarta/holy-smokes-senopati
","Jl. Wolter Monginsidi No. 27, Senopati, Jakarta",Rp500.000 untuk 2 orang (perkiraan)Tanpa alkohol,"['Hanya Wine dan Bir', 'Di dalam ruangan', 'Wifi Tersedia', 'Parkir Valet Tersedia', 'Reservasi meja direkomendasikan', 'Ruang Sholat']"
Pempek Megaria,Quick Bites,['Palembang'],Cikini,4.3,461 Ulasan,-6.1999000000,106.843739000,"https://www.zomato.com/id/jakarta/pempek-megaria-cikini
","Metropole 21, Jl. Pegangsaan Timur No. 21, Cikini, Jakarta",Rp70.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Tjikinii Lima,Casual Dining,"['Barat', 'Indonesia']",Cikini,4.0,391 Ulasan,-6.1898019937,106.837150007,"https://www.zomato.com/id/jakarta/tjikinii-lima-cikini
","Jl. Cikini I No. 5, Cikini, Jakarta 10330",Rp300.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Area Merokok', 'Tempat duduk di luar', 'Ruang Sholat', 'Ruang Pribadi Tersedia', 'Wifi Tersedia', 'Di dalam ruangan', 'Reservasi meja direkomendasikan']"
Gado-Gado Bon-Bin,Quick Bites,['Jawa'],Cikini,4.0,177 Ulasan,-6.1929590000,106.838377000,"https://www.zomato.com/id/jakarta/gado-gado-bon-bin-cikini
","Jl. Cikini 4 No. 5, Cikini, Jakarta",Rp90.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Koffie Fictie,Kafe,['Kopi'],Bekasi Selatan,Not Rated Yet,TIdak cukup Ulasan,-6.2720590000,106.970932000,"https://www.zomato.com/id/jakarta/koffie-fictie-bekasi-selatan-bekasi
","Grand Galaxy Park, Ruko RSOD No. 026, Jl. Lotus Utara, Bekasi Selatan, Bekasi",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Soto Mie Bogor,Kios,['Soto'],Setiabudi,Not Rated Yet,TIdak cukup Ulasan,-6.2135949475,106.829066164,"https://www.zomato.com/id/jakarta/soto-mie-bogor-setiabudi
","Loksem JS 03 - Setiabudi Selatan, Jl. H.R. Rasuna Said Kav. C3, Kuningan, Jakarta",Rp30.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Kaki5 Bersertifikat BPOM']"
Soto Adam,Food Court,['Soto'],Serpong,Not Rated Yet,TIdak cukup Ulasan,-6.2864450000,106.664567000,"https://www.zomato.com/id/jakarta/soto-adam-serpong-tangerang
","ITC BSD, Lantai 2, Food Court, Jl. Pahlawan Seribu,, Tangerang, Serpong Utara, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Wifi Tersedia']"
Ini Yaya,Food Court,['Indonesia'],Thamrin,Not Rated Yet,TIdak cukup Ulasan,-6.1848350000,106.823781000,"https://www.zomato.com/id/jakarta/ini-yaya-thamrin
","Thamrin 10, Jl. M.H Thamrin No. 10, Thamrin, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Tempat duduk di luar']"
Pempek 99,Quick Bites,"['Palembang', 'Indonesia']",Cinere,Not Rated Yet,TIdak cukup Ulasan,-6.3334450000,106.783861000,"https://www.zomato.com/id/jakarta/pempek-99-cinere-depok
","Sentra Bazaar Cinere, Lantai Ground, Jl. Cinere Raya, Cinere, Depok Depok, Cinere, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
Kantin Berkah Jaya,Food Court,['Jawa'],Gunung Sahari,Not Rated Yet,TIdak cukup Ulasan,-6.1548550781,106.849399656,"https://www.zomato.com/id/jakarta/kantin-berkah-jaya-gunung-sahari
","Mega Glodok Kemayoran, Lantai 3, Food Court, Jl. Angkasa, Gunung Sahari, Jakarta",Rp60.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Wifi Tersedia', 'Di dalam ruangan']"
Ayam Bakar Samrat,Quick Bites,"['Manado', 'Indonesia']",Karet,Not Rated Yet,TIdak cukup Ulasan,-6.2174999518,106.819276772,"https://www.zomato.com/id/jakarta/ayam-bakar-samrat-karet
","Jl. Prof. DR. Satrio No. 21 C, Karet, Jakarta",Rp60.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Sakeca - Horison Hotel Ciledug,Lounge,"['Hanya Minuman', 'Kopi', 'Tea']",Larangan,Not Rated Yet,TIdak cukup Ulasan,-6.2375080000,106.746905000,"https://www.zomato.com/id/jakarta/sakeca-horison-hotel-ciledug-larangan-tangerang
","Hotel Horison Ciledug, Jl. Ciledug Raya No. 17, Larangan, Tangerang",Rp100.000 untuk 2 orang (perkiraan)dengan alkohol,"['Bawa Pulang Tersedia', 'Hanya Bir', 'Tempat duduk di luar', 'Di dalam ruangan', 'Area Merokok', 'Menyediakan cocktail', 'Reservasi meja direkomendasikan', 'Wifi Tersedia']"
Monkey Bean Corner,Toko Minuman,"['Kafe', 'Kopi', 'Kafe', 'Snacks']",Kuningan,Not Rated Yet,TIdak cukup Ulasan,-6.2268530457,106.825284250,"https://www.zomato.com/id/jakarta/monkey-bean-corner-kuningan
","CoHive 101, Jl. Mega Kuningan Barat, Blok E No. 1, Kuningan. Jakarta",Rp120.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Bakmi Udang Lotus,Food Court,"['Bakmi', 'Indonesia']",Mangga Dua,Not Rated Yet,TIdak cukup Ulasan,-6.1358941611,106.823124736,"https://www.zomato.com/id/jakarta/bakmi-udang-lotus-mangga-dua
","Pasar Pagi Mangga Dua, Lantai 6, Food Court, Jl. Mangga Dua Raya, Mangga Dua, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Dapoer Temen Gue,Quick Bites,"['Indonesia', 'Snacks']",Meruya,Not Rated Yet,TIdak cukup Ulasan,-6.2190190000,106.731445000,"https://www.zomato.com/id/jakarta/dapoer-temen-gue-meruya
","Jl. Joglo Raya No.69, Meruya, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Tempat duduk di luar', 'Area Merokok']"
Chicken Jab,Food Court,['Indonesia'],Pondok Aren,Not Rated Yet,TIdak cukup Ulasan,-6.2868642572,106.727884523,"https://www.zomato.com/id/jakarta/chicken-jab-pondok-aren-tangerang
","Bintaro Jaya Xchange Mall CBD, Lantai 1, Food Xchange, Jl. Boulevard Bintaro Jaya, Pondok Aren, Tangerang",Rp120.000 untuk 2 orang (perkiraan),['Di dalam ruangan']
Coffee Don Go,Toko Minuman,"['Kopi', 'Minuman', 'Snacks']",Serpong,Not Rated Yet,TIdak cukup Ulasan,-6.2999050000,106.681558000,"https://www.zomato.com/id/jakarta/coffee-don-go-serpong-tangerang
","BSD Sektor 1.2, Jl. Rawabuntu Utara, Blok V2 No. 21A, Serpong, Tangerang",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan']"
Dapoer Prasmanan Aunty Nelly,Quick Bites,['Indonesia'],Kelapa Gading,Not Rated Yet,TIdak cukup Ulasan,-6.1493090000,106.909265000,"https://www.zomato.com/id/jakarta/dapoer-prasmanan-aunty-nelly-kelapa-gading
","Boulevard Raya Blok QF 1 No.25., Kelapa Gading, Jakarta",Rp80.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
Pawon Demak,Food Court,['Jawa'],Kampung Melayu,Not Rated Yet,TIdak cukup Ulasan,-6.2449040000,106.875444000,"https://www.zomato.com/id/jakarta/pawon-demak-kampung-melayu
","Tamansari Hive, Lantai 2, Wiki Wiki Wok, Food Runway, Jl. D.I. Panjaitan, Kampung Melayu, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Di dalam ruangan', 'Wifi Tersedia']"
Lovely Geprek,Food Court,['Indonesia'],Beji,Not Rated Yet,TIdak cukup Ulasan,-6.3726682135,106.832375675,"https://www.zomato.com/id/jakarta/lovely-geprek-beji-depok
","Depok Town Square, Lantai 2, Food Square, Jl. Margonda Raya, Beji, Depok",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Rumah Makan Mutiara Sunda,Quick Bites,['Sunda'],Medan Satria,Not Rated Yet,TIdak cukup Ulasan,-6.1861670000,106.980944000,"https://www.zomato.com/id/jakarta/rumah-makan-mutiara-sunda-medan-satria-bekasi
","Jl. Boulevard Hijau, Blok B8 No. 53, Medan Satria, Bekasi",Rp80.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Tempat duduk di luar']"
Booba House,Toko Minuman,"['Minuman', 'Bubble Tea']",Tanjung Duren,Not Rated Yet,TIdak cukup Ulasan,-6.1819540000,106.783637000,"https://www.zomato.com/id/jakarta/booba-house-tanjung-duren
","Jl. Tanjung Duren Raya No. 526B, Tanjung Duren, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Siomay Batagor Satya Tenggiri,Kaki Lima,['Indonesia'],Sunter,Not Rated Yet,TIdak cukup Ulasan,-6.1387440000,106.861207000,"https://www.zomato.com/id/jakarta/siomay-batagor-satya-tenggiri-sunter
","Jl. Agung Utara 24 No. 23, Sunter, Jakarta",Rp50.000 untuk 2 orang (perkiraan),['No Additional Info']
Warung Kopi Gue,Quick Bites,"['Kopi', 'Snacks']",Gunung Sahari,Not Rated Yet,TIdak cukup Ulasan,-6.1423042134,106.842955648,"https://www.zomato.com/id/jakarta/warung-kopi-gue-gunung-sahari
","Jl. Pademangan 1 Raya, Gg. 5 No.1B, Gunung Sahari",Rp100.000 untuk 2 orang (perkiraan),"['Di dalam ruangan', 'Area Merokok']"
Nasi Bakar Pangestu,Quick Bites,['Jawa'],Mangga Besar,Not Rated Yet,TIdak cukup Ulasan,-6.1561110000,106.819705000,"https://www.zomato.com/id/jakarta/nasi-bakar-pangestu-mangga-besar
","Jl. Taman Sari Vlll No. 104, Mangga Besar, Jakarta",Rp90.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Teguk,Toko Minuman,['Minuman'],Cimanggis,Not Rated Yet,TIdak cukup Ulasan,-6.3556855015,106.842766553,"https://www.zomato.com/id/jakarta/teguk-cimanggis-depok
","Jl. H. Moat, Cimanggis, Depok",Rp50.000 untuk 2 orang (perkiraan),['Hanya Bawa Pulang']
Sate Taichan Yoman,Kios,['Satay'],Daan Mogot,Not Rated Yet,TIdak cukup Ulasan,-6.1776640000,106.715109000,"https://www.zomato.com/id/jakarta/sate-taichan-yoman-daan-mogot
","Food & Fit Station, Ruko CityWalk, Blok C No. 15-17. Jl. Kresek Raya No. 89, Daan Mogot, Jakarta",Rp80.000 untuk 2 orang (perkiraan),"['Pesan Antar', 'Bawa Pulang Tersedia', 'Parkir Gratis', 'Di dalam ruangan', 'Wifi Tersedia', 'Prasmanan']"
Bakmi Keriting Pematang Siantar 36,Quick Bites,['Bakmi'],Grogol,Not Rated Yet,TIdak cukup Ulasan,-6.1644160000,106.791492000,"https://www.zomato.com/id/jakarta/bakmi-keriting-pematang-siantar-36-grogol
","Jl. Dr. Susilo III No. 18-22, Grogol, Jakarta",Rp60.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Takoyaki Octopus Ball,Kios,['Jepang'],Pinang Ranti,Not Rated Yet,TIdak cukup Ulasan,-6.2912439391,106.881961673,"https://www.zomato.com/id/jakarta/takoyaki-octopus-ball-pinang-ranti
","Tamini Square, Lantai Upper Ground, Jl. Taman Mini 1, Pinang Ranti, Jakarta",Rp50.000 untuk 2 orang (perkiraan),['Hanya Bawa Pulang']
Mie Jogja Pak Karto,Food Court,['Jawa'],Meruya,Not Rated Yet,TIdak cukup Ulasan,-6.2200590000,106.739814000,"https://www.zomato.com/id/jakarta/mie-jogja-pak-karto-meruya
","Kampung Makan Joglo 21, Jl. Joglo Raya No. 21, Meruya, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan']"
Kopi Soldadu Premium,Kafe,"['Indonesia', 'Kopi']",Bogor Tengah,Not Rated Yet,TIdak cukup Ulasan,-6.5913987487,106.804592013,"https://www.zomato.com/id/jakarta/kopi-soldadu-premium-bogor-tengah-bogor
","Jl. Raya Pajajaran No. 26, Babakan, Bogor Tengah, Bogor",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Area Merokok', 'Tempat duduk di luar', 'Ruang Sholat', 'Wifi Tersedia', 'Di dalam ruangan']"
Jumbo Strudle Bogor,Toko Kue & Roti,"['Kue & Roti', 'Desserts']",Bogor Tengah,Not Rated Yet,TIdak cukup Ulasan,-6.6031890000,106.805721000,"https://www.zomato.com/id/jakarta/jumbo-strudle-bogor-bogor-tengah-bogor
","Jl. Raya Pajajaran No. 3f, Baranangsiang, Bogor Tengah, Bogor",Rp60.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Desserts and Bakes']"
Pie Hongki,Quick Bites,['Chinese'],Pluit,Not Rated Yet,TIdak cukup Ulasan,-6.1106818975,106.776066049,"https://www.zomato.com/id/jakarta/pie-hongki-pluit
","Jl. Pluit Karang Utara No.88, Pluit, Jakarta",Rp60.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
Rumah Makan Pandawalima,Quick Bites,"['Satay', 'Indonesia']",Bogor Utara,Not Rated Yet,TIdak cukup Ulasan,-6.5705560000,106.814806000,"https://www.zomato.com/id/jakarta/rumah-makan-pandawalima-bogor-utara-bogor
","Jl. Achmad Adnawijaya No. 99, Bogor Utara, Bogor",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Marika Mie Kocok Bandung,Quick Bites,"['Bakmi', 'Sunda']",Bekasi Utara,Not Rated Yet,TIdak cukup Ulasan,-6.2257464949,107.002302333,"https://www.zomato.com/id/jakarta/marika-mie-kocok-bandung-bekasi-utara-bekasi
","Summarecon Mall Bekasi, Lantai Ground, Jl. Ahmad Yani, Bekasi Utara, Bekasi",Rp70.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Scoopter,Dessert Parlor,"['Ice Cream', 'Desserts']",Fatmawati,Not Rated Yet,TIdak cukup Ulasan,-6.2957682164,106.803211346,"https://www.zomato.com/id/jakarta/scoopter-fatmawati
","Eleven Trees, Jl. Intan Ujung No. 11, Fatmawati, Jakarta",Rp80.000 untuk 2 orang (perkiraan),"['Hanya Bawa Pulang', 'Desserts and Bakes']"
Potato Station,Quick Bites,['Snacks'],Kelapa Gading,Not Rated Yet,TIdak cukup Ulasan,-6.1465937616,106.891609914,"https://www.zomato.com/id/jakarta/potato-station-kelapa-gading
","Mall Artha Gading, Lantai 1, Jl. Boulevard Artha Gading, Kelapa Gading, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Pesan Antar', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
AZ Coffee & Jajan,Kafe,"['Kafe', 'Kopi']",Medan Satria,Not Rated Yet,TIdak cukup Ulasan,-6.2031380000,106.991309000,"https://www.zomato.com/id/jakarta/az-coffee-jajan-medan-satria-bekasi
","Jl. Bangau 8 No. 5, Harapan Jaya, Medan Satria, Bekasi",Rp80.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Yong Tau Fu,Quick Bites,"['Chinese', 'Singapura']",Cempaka Putih,Not Rated Yet,TIdak cukup Ulasan,-6.1903366411,106.874292232,"https://www.zomato.com/id/jakarta/yong-tau-fu-cempaka-putih
","Apartemen The Green Pramuka City, Lantai Ground, Jl. Jend. Ahmad Yani, Cempaka Putih, Jakarta, Cempaka Putih, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Menu Makan Siang', 'Di dalam ruangan', 'Ramah Vegetarian']"
Soto Kudus Palem Dua,Quick Bites,"['Soto', 'Jawa']",Cibubur,Not Rated Yet,TIdak cukup Ulasan,-6.3849739725,106.936067864,"https://www.zomato.com/id/jakarta/soto-kudus-palem-dua-cibubur
","Jl. Alternatif Cibubur, Cibubur, Jakarta",Rp80.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Bebek Kwek Kwek,Food Court,['Jawa'],Cinere,Not Rated Yet,TIdak cukup Ulasan,-6.3241486916,106.783905141,"https://www.zomato.com/id/jakarta/bebek-kwek-kwek-cinere
","Cinere Mall, Lantai Basement, Food Court, Jl. Cinere Raya No. 1, Cinere, Depok",Rp70.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Radja Cobek,Quick Bites,"['Soto', 'Jawa', 'Indonesia']",Bekasi Utara,Not Rated Yet,TIdak cukup Ulasan,-6.2242523144,107.041726447,"https://www.zomato.com/id/jakarta/radja-cobek-bekasi-utara-bekasi
","Jl. Raya Karang Satria No. 72, Bekasi Utara, Bekasi",Rp70.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
MAJAME Street Food Cafe,Quick Bites,['Indonesia'],Pondok Aren,Not Rated Yet,TIdak cukup Ulasan,-6.2791240000,106.710516000,"https://www.zomato.com/id/jakarta/majame-street-food-cafe-pondok-aren-tangerang
","Jl. Kasuari Raya Blok HB 2 No. 19B, Pondok Aren, Tangerang",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Alternative Coffee,Toko Minuman,"['Kopi', 'Minuman', 'Kue & Roti']",Pondok Indah,Not Rated Yet,TIdak cukup Ulasan,-6.2585500000,106.781985000,"https://www.zomato.com/id/jakarta/alternative-coffee-pondok-indah
","Melodia Musik, Jl. Sultan Iskandar Muda No. 15B, Pondok Indah, Jakarta",Rp80.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Mie Kingkong,Food Court,['Bakmi'],Bogor Tengah,Not Rated Yet,TIdak cukup Ulasan,-6.6053737473,106.795413829,"https://www.zomato.com/id/jakarta/mie-kingkong-bogor-tengah
","Bogor Trade Mall, Lantai 3, Food Court, Jl. Ir H Juanda No. 68, Bogor Tengah, Bogor",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Resto Cibalung,Casual Dining,['Indonesia'],Bogor Timur,Not Rated Yet,TIdak cukup Ulasan,-6.6901940000,106.808274000,"https://www.zomato.com/id/jakarta/resto-cibalung-bogor-timur-bogor
","Resto Cibalung, Bogor, Jakarta, Bogor Timur, Bogor 16136",Rp120.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Ruang Sholat']"
Kopi Cinta,Toko Minuman,['Kopi'],Pasar Minggu,Not Rated Yet,TIdak cukup Ulasan,-6.2959110000,106.834127000,"https://www.zomato.com/id/jakarta/kopi-cinta-pasar-minggu
","Jl. Aup Barat I No. 45, Pasar Minggu, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Pesan Antar', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
Jim's and Cat,Food Court,"['Kopi', 'Minuman']",Bekasi Selatan,Not Rated Yet,TIdak cukup Ulasan,-6.2587110000,106.972526000,"https://www.zomato.com/id/jakarta/jims-and-cat-bekasi-selatan-bekasi
","Galaxy Food Court, Jl. Boulevard Raya, Blok U No. 1, Bekasi Selatan, Bekasi",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Muamalat Hijrah Coffee,Toko Minuman,['Kopi'],Kuningan,Not Rated Yet,Not Reviewed Yet,-6.2250070000,106.830700000,"https://www.zomato.com/id/jakarta/muamalat-hijrah-coffee-kuningan
","Jl. Prof. DR. Satrio No. Kav. 18, Kuningan, Jakarta",Rp90.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Lapis Talas Laris,Toko Kue & Roti,"['Kue & Roti', 'Desserts', 'Indonesia']",Serpong Utara,Not Rated Yet,TIdak cukup Ulasan,-6.2452747736,106.612140834,"https://www.zomato.com/id/jakarta/lapis-talas-laris-serpong-utara-tangerang
","Ruko Paramount Blitz, Blok A No. 23, Jl. Boulevard Raya Gading Serpong, Serpong Utara, Tangerang",Rp120.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Prasmanan', 'Desserts and Bakes', 'Di dalam ruangan']"
Waroeng_eat.NOW,Quick Bites,['Jawa'],Ciputat Timur,Not Rated Yet,TIdak cukup Ulasan,-6.3072190000,106.754077000,"https://www.zomato.com/id/jakarta/waroeng-eat-now-ciputat-timur-tangerang
","Jl. Pesanggrahan No. 43, Ciputat Timur, Tangerang",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Kedai Ayam Geprek & Pempek Palembang Mantul,Quick Bites,"['Indonesia', 'Palembang']",Rawalumbu,Not Rated Yet,Not Reviewed Yet,-6.2849143504,107.000777162,"https://www.zomato.com/id/jakarta/kedai-ayam-geprek-pempek-palembang-mantul-rawalumbu-bekasi
","Jl. Lumbu Utara IIB No. 203, Rawalumbu, Bekasi",Rp100.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
Bakmi Tarix,Quick Bites,"['Chinese', 'Jawa']",Roxy,Not Rated Yet,TIdak cukup Ulasan,-6.1672550000,106.803217000,"https://www.zomato.com/id/jakarta/bakmi-tarix-roxy
","ITC Roxy Mas, Lantai Basement, Jl. KH Hasyim Ashari, Roxy, Jakarta",Rp70.000 untuk 2 orang (perkiraan),"['Pesan Antar', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
Una Nha Drink,Toko Minuman,"['Kopi', 'Tea']",Pondok Aren,Not Rated Yet,TIdak cukup Ulasan,-6.2842320000,106.702129000,"https://www.zomato.com/id/jakarta/una-nha-drink-1-pondok-aren-tangerang
","Jl. Jombang Raya No.40, Pondok Aren, Tangerang",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Kuliner Jadoel,Quick Bites,['Indonesia'],Gambir,Not Rated Yet,TIdak cukup Ulasan,-6.1698550000,106.829884000,"https://www.zomato.com/id/jakarta/kuliner-jadoel-gambir
","Jl. Veteran I, Gambir, Jakarta",Rp80.000 untuk 2 orang (perkiraan),"['Pesan Antar', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Area Merokok']"
Lapo Tao Toba dan Bakmi Siantar,Food Court,"['Batak', 'Bakmi']",Kemayoran,Not Rated Yet,TIdak cukup Ulasan,-6.1648579559,106.877500824,"https://www.zomato.com/id/jakarta/lapo-tao-toba-dan-bakmi-siantar-kemayoran
","ITC Cempaka Mas, Lantai 5, Food Court, Jl. Letjen Suprapto, Kemayoran, Jakarta",Rp80.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Sambalin,Food Court,['Indonesia'],Jatiuwung,Not Rated Yet,TIdak cukup Ulasan,-6.2235480516,106.587298549,"https://www.zomato.com/id/jakarta/sambalin-jatiuwung-tangerang
","Food Culinary, Jl. Taman Permata No. 301, Jatiuwung, Tangerang 15117",Rp80.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Bebek Renon,Quick Bites,['Bali'],Lebak Bulus,Not Rated Yet,TIdak cukup Ulasan,-6.2936630000,106.782386000,"https://www.zomato.com/id/jakarta/bebek-renon-lebak-bulus
","Jl. Lebak Bulus Raya 1 No. 10, Lebak Bulus, Jakarta",Rp180.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Pondok Selera,Food Court,['Indonesia'],Mangga Dua,Not Rated Yet,TIdak cukup Ulasan,-6.1359651658,106.823064722,"https://www.zomato.com/id/jakarta/pondok-selera-mangga-dua
","Pasar Pagi Mangga Dua, Lantai 6, Food Court, Jl. Mangga Dua Raya, Mangga Dua, Jakarta",Rp70.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Planet Drinks,Food Court,['Minuman'],Cibubur,Not Rated Yet,TIdak cukup Ulasan,-6.3697146807,106.892228834,"https://www.zomato.com/id/jakarta/planet-drinks-cibubur
","Food Court Fox, Taman Rekreasi Wiladatika Jl. Jambore No. 1, Cibubur, Jakarta",Rp60.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Wifi Tersedia']"
Fun Thai Tea,Toko Minuman,"['Taiwanese', 'Minuman']",Ancol,Not Rated Yet,TIdak cukup Ulasan,-6.1227970000,106.830826000,"https://www.zomato.com/id/jakarta/fun-thai-tea-2-ancol
","Taman Impian Jaya Ancol, Dunia Fantasi, Jl. Lodan No. 7, Ancol, Jakarta",Rp70.000 untuk 2 orang (perkiraan),['Hanya Bawa Pulang']
Ayam Lunak Kremes Oma Rina,Quick Bites,['Indonesia'],Matraman,Not Rated Yet,TIdak cukup Ulasan,-6.2091300000,106.859769000,"https://www.zomato.com/id/jakarta/ayam-lunak-kremes-oma-rina-matraman
","Jl. Matraman Raya No 141A, Matraman, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Area Merokok']"
Dapur Painan,Quick Bites,['Padang'],Jagakarsa,Not Rated Yet,TIdak cukup Ulasan,-6.3306570798,106.808587499,"https://www.zomato.com/id/jakarta/dapur-painan-jagakarsa
","Puri Rinda Residence, Ruko A1, Jl. Moh. Kahfi 1, Jagakarsa, Jakarta",Rp75.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Gold Digger Coffe & Co.,Kafe,"['Kafe', 'Kopi']",Pasar Minggu,Not Rated Yet,TIdak cukup Ulasan,-6.3019490000,106.843474000,"https://www.zomato.com/id/jakarta/gold-digger-coffe-co-pasar-minggu
","Gedung ANTAM, Jl. TB. Simatupang No. 1, Pasar Minggu, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
d'Cobek,Food Court,['Jawa'],Bintaro,Not Rated Yet,TIdak cukup Ulasan,-6.2718640000,106.755711000,"https://www.zomato.com/id/jakarta/dcobek-bintaro
","D' Hoek, Jl. Bintaro Utama, Bintaro, Jakarta",Rp70.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
RM Wong Tegal,Quick Bites,"['Jawa', 'Satay', 'Indonesia']",Tanjung Duren,3.9,12 Ulasan,-6.1823148725,106.782992184,"https://www.zomato.com/id/jakarta/rm-wong-tegal-tanjung-duren
","Jl. Tanjung Duren Barat 6 No. 5, Tanjung Duren, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
